2026-09-24 23:59:26.016 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DD958 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.017 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.018 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB5E40 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.019 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.020 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB6218 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.020 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB5E40 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.021 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DC768 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.023 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=0000014B eax=3BD91544 ebx=30DB5548 ecx=0000001F edx=00000040 esi=00000001 edi=00000007 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.023 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB6EE8 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.025 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB5E40 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
